,    Quicksort,,,,    Mergesort,,,,    Heapsort,,,
No. of Data Inputs,Integer,Float,Char,String,Integer,Float,Char,String,Integer,Float,Char,String
100,0.000022,0.000024,0.000023,0.000028,0.000031,0.000059,0.000032,0.000041,0.000032,0.000034,0.000031,0.000044
500,0.000228,0.000122,0.000161,0.000171,0.000175,0.000169,0.000148,0.000222,0.000195,0.000224,0.000243,0.000269
1000,0.000256,0.000251,0.000526,0.000395,0.000343,0.000335,0.000323,0.000443,0.000405,0.000419,0.000345,0.000591
5000,0.001401,0.001417,0.009334,0.002208,0.001732,0.001355,0.001601,0.002647,0.002254,0.002304,0.001945,0.003669
10000,0.003031,0.002877,0.027927,0.004832,0.003789,0.003638,0.003397,0.005711,0.004908,0.004582,0.004183,0.008378
25000,0.007749,0.006847,0.155272,0.012462,0.009198,0.008107,0.008336,0.013297,0.012125,0.011088,0.010439,0.020047
50000,0.014666,0.013072,0.621036,0.025266,0.017269,0.016301,0.015707,0.026279,0.021526,0.021485,0.019864,0.043187
100000,0.030095,0.029163,2.495224,0.050339,0.032629,0.034261,0.02919,0.056848,0.044586,0.046634,0.037985,0.104543
,,,,,,,,,,,,
,,,                                                 Running Space(KB),,,,,,,,,
,,,No.of Data Inputs,Integer,Float,Char,String,,,,,
,,,100,0.585,1.15,0.484,1.17,,,,,
,,,500,2.87,5.81,1.4,5.85,,,,,
,,,1000,5.75,11.5,2.92,11.7,,,,,
,,,5000,28.3,93.3,13.2,58.3,,,,,
,,,10000,57.5,116,29.2,117,,,,,
,,,25000,176,434.3,93.2,653.3,,,,,
,,,50000,257,787.2,185,824,,,,,
,,,100000,575,1126,292,1168,,,,,
